param:	TIME:	Ts	Te:=
1	0   108
2	108   216
3	216   324
4	324   432
5	432   540
;
param:	NODE:	r	st	WS	WE:=
0	0	0	0	540
1	1089	12	17	330
2	1989	22	37	387
3	2475	27	29	386
4	2439	27	29	383
5	2331	26	30	372
6	1122	12	30	366
7	495	5	45	367
8	1284	14	31	350
9	1029	11	68	390
10	621	7	29	339
11	1077	12	30	372
12	2130	24	57	384
13	2394	27	53	394
14	954	11	68	405
15	1326	15	31	364
16	1899	21	29	381
17	2151	24	25	369
18	1470	16	23	352
19	2133	24	78	432
20	1260	14	63	386
21	2202	24	73	399
22	1704	19	57	404
23	633	7	68	406
24	1998	22	49	387
25	405	4	10	325
26	1062	12	41	354
27	1365	15	61	399
28	1578	18	51	371
29	1617	18	20	367
30	1587	18	78	404
31	723	8	79	392
32	2343	26	76	427
33	648	7	16	346
34	2190	24	43	375
35	351	4	17	321
36	618	7	48	373
37	1623	18	44	390
38	1371	15	73	391
39	1191	13	42	374
40	546	6	66	404
41	1020	11	73	386
42	2472	27	61	395
43	2352	26	31	363
44	1485	16	37	379
45	2139	24	47	402
46	618	7	58	374
47	1056	12	78	412
48	921	10	53	368
49	1725	19	30	372
50	585	6	43	381
51	990	11	31	363
52	465	5	57	368
53	1680	19	88	426
54	1512	17	67	411
55	1077	12	34	369
56	486	5	80	403
57	1422	16	30	364
58	915	10	28	345
59	1167	13	68	408
60	387	4	47	358
61	2049	23	66	422
62	2196	24	11	342
63	1029	11	62	398
64	1080	12	32	359
65	2055	23	66	414
66	1809	20	72	406
67	1008	11	73	398
68	1893	21	83	415
69	2427	27	72	421
70	1311	15	49	389
71	2247	25	58	411
72	654	7	15	350
73	1815	20	50	383
74	1560	17	25	357
75	1071	12	13	328
;
param: VEHICLE:	Ch	Lh	Ph	ch:=
1	10000	150	2.2384e-005	2.66374
2	15000	200	1.79961e-005	2.66374
3	10000	150	2.2384e-005	2.66374
4	15000	200	1.79961e-005	2.66374
5	10000	150	2.2384e-005	2.66374
6	15000	200	1.79961e-005	2.66374
7	10000	150	2.2384e-005	2.66374
8	15000	200	1.79961e-005	2.66374
9	10000	150	2.2384e-005	2.66374
10	15000	200	1.79961e-005	2.66374
11	10000	150	2.2384e-005	2.66374
12	15000	200	1.79961e-005	2.66374
13	10000	150	2.2384e-005	2.66374
14	15000	200	1.79961e-005	2.66374
15	10000	150	2.2384e-005	2.66374
;
param q_real:=15;
param	nth:=20;
param	nth1:=75;
param:	ARC:	D:=
1	52	13.740000
1	25	24.180000
1	7	30.570000
1	48	41.049999
1	41	44.950001
1	69	51.220001
1	60	52.700001
1	50	57.930000
1	23	67.260002
1	2	68.980003
1	16	74.480003
1	15	75.589996
1	70	77.980003
1	58	79.010002
1	53	79.202003
1	51	80.739998
1	47	81.410004
1	12	81.709999
1	42	86.180000
1	28	86.760002
2	70	9.000000
2	58	10.030000
2	53	10.650000
2	12	12.730000
2	51	22.209999
2	16	27.969999
2	48	29.309999
2	63	29.520000
2	69	29.650000
2	73	30.330000
2	47	34.240002
2	39	35.410000
2	22	36.779999
2	44	37.151001
2	43	42.680000
2	62	45.209999
2	45	46.090000
2	13	51.370998
2	7	54.919998
2	41	57.369999
3	30	28.030001
3	20	28.780001
3	27	28.889999
3	36	30.270000
3	34	39.880001
3	64	40.990002
3	68	41.490002
3	38	43.369999
3	33	48.869999
3	65	54.680000
3	75	61.820000
3	19	69.660004
3	31	70.660004
3	14	71.099998
3	71	73.160004
3	29	75.099998
3	67	75.129997
3	21	76.160004
3	26	76.339996
3	6	77.269997
4	35	8.630000
4	59	10.240000
4	66	17.190001
4	21	18.559999
4	6	22.000000
4	29	22.360001
4	56	29.170000
4	11	32.570000
4	5	35.230000
4	31	50.070000
4	28	53.869999
4	26	55.750000
4	23	56.049999
4	33	56.950001
4	34	57.349998
4	38	59.639999
4	68	62.290001
4	65	62.459999
4	30	65.820000
4	14	67.800003
5	66	18.100000
5	35	30.469999
5	23	34.160000
5	59	34.200001
5	4	35.151001
5	11	50.620998
5	60	50.990002
5	6	51.040001
5	21	51.169998
5	29	52.320000
5	56	56.740002
5	28	64.480003
5	50	71.029999
5	31	76.360001
5	41	76.879997
5	25	78.349998
5	26	82.040001
5	15	85.220001
5	33	86.190002
5	34	86.389999
6	21	7.010000
6	29	12.020000
6	4	21.920000
6	59	25.059999
6	35	26.440001
6	66	33.080002
6	56	36.049999
6	11	39.450001
6	34	40.349998
6	33	41.509998
6	31	43.439999
6	38	43.830002
6	68	46.480000
6	65	48.590000
6	30	50.009998
6	5	51.119999
6	20	51.419998
6	26	52.099998
6	64	52.209999
6	28	56.910000
7	52	18.980000
7	41	19.240000
7	48	28.280001
7	69	28.299999
7	1	30.799999
7	50	32.220001
7	25	37.580002
7	15	49.880001
7	16	51.560001
7	2	54.930000
7	51	58.029999
7	42	58.450001
7	47	58.490002
7	60	60.049999
7	23	60.130001
